Service Request Number,Created Date,Method Received,Status,Location,X_Value,Y_Value,Latitude,Longitude,Latitude/Longitude,ZIP Code,Council District,Police Precinct,Community Reporting Area,Where is the Illegal Dumping Violation located?,Choose a description of the Illegal Dumping
13-00069180,8/27/2013 10:22,Find It Fix It Apps,Reported,"1200 E HOWELL ST, SEATTLE, WA",1274610.2,228860.5239,47.6177464,-122.3166353,POINT (-122.31663532 47.6177464),,3,EAST,,,
14-00057131,5/22/2014 14:47,Citizen Web,Transferred to Other Dept,"2427 8TH AVE W, SEATTLE, WA 98119",1262129.748,237367.385,47.64039254,-122.3679166,POINT (-122.36791664 47.64039254),98119,7,WEST,,"Other, enter more details","Other, enter more details"
14-00071082,6/18/2014 11:51,Citizen Web,Transferred to Other Dept,"4110 SW RAYMOND ST, SEATTLE, WA",1257270.76,203994.81,47.54865327,-122.3848935,POINT (-122.38489349 47.54865327),,1,SOUTHWEST,,"Other, enter more details","Hazmat (paints, solvents, unidentified liquids)"
14-00071095,6/18/2014 11:59,Citizen Web,Transferred to Other Dept,"5947 41ST AVE SW, SEATTLE, WA 98136",1257299.87,204083.6499,47.54892934,-122.3848632,POINT (-122.38486317 47.54892934),98136,1,SOUTHWEST,,"Other, enter more details",Garbage
16-00008971,1/19/2016 12:42,Find It Fix It Apps,Transferred to Other Dept,"1450 W NICKERSON ST, SEATTLE, WA 98119",1260236.73,242546.6833,47.65448493,-122.3760151,POINT (-122.37601506 47.65448493),98119,7,WEST,,Greenbelt,Garbage
16-00130049,8/3/2016 15:54,Citizen Web,Reported,"10738 19TH AVE NE, SEATTLE, WA 98125",1277422.72,261699.8058,47.70790634,-122.3077846,POINT (-122.30778463 47.70790634),98125,5,NORTH,,Right of Way,"Other, enter more details"
17-00095488,6/13/2017 17:54,Find It Fix It Apps,Transferred to Other Dept,"1017 BELLEVUE CT E, SEATTLE, WA 98102",1272069.171,232475.5241,47.6275255,-122.3272259,POINT (-122.32722586 47.6275255),98102,3,EAST,,Greenbelt,Litter
17-00095688,6/14/2017 8:49,Citizen Web,Transferred to Other Dept,"8514 NESBIT AVE N, SEATTLE, WA 98103",1268590.962,255741.9703,47.69110669,-122.3431747,POINT (-122.34317467 47.69110669),98103,5,NORTH,,Sidewalk,Furniture
17-00095753,6/14/2017 9:34,Find It Fix It Apps,Transferred to Other Dept,"1927 BOYER AVE E, SEATTLE, WA 98112",1278049.5,235369.0154,47.63576697,-122.3031968,POINT (-122.30319678 47.63576697),98112,3,EAST,,City Park,Other
17-00096054,6/14/2017 14:06,Find It Fix It Apps,Transferred to Other Dept,"501 3RD AVE, SEATTLE, WA 98104",1270883.501,223257.5796,47.60219098,-122.3313007,POINT (-122.33130067 47.60219098),98104,7,WEST,,Sidewalk,Other
