CategoryID,CategoryKey,ViolationLocatedAt,DumpingDescription,ViolationKey,DescriptionKey
1,ALLEY|APPLIANCE,Alley,Appliance,ALLEY,APPLIANCE
2,ALLEY|AUTO PARTS,Alley,Auto Parts,ALLEY,AUTO PARTS
3,ALLEY|CONSTRUCTION DEBRIS,Alley,Construction Debris,ALLEY,CONSTRUCTION DEBRIS
4,ALLEY|ELECTRONICS,Alley,Electronics,ALLEY,ELECTRONICS
5,ALLEY|FURNITURE,Alley,Furniture,ALLEY,FURNITURE
6,ALLEY|GARBAGE,Alley,Garbage,ALLEY,GARBAGE
7,ALLEY|HAZMAT,Alley,Hazmat,ALLEY,HAZMAT
8,"ALLEY|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",Alley,"Hazmat (paints, solvents, unidentified liquids)",ALLEY,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
9,ALLEY|LITTER,Alley,Litter,ALLEY,LITTER
10,ALLEY|MATTRESS,Alley,Mattress,ALLEY,MATTRESS
11,ALLEY|NEEDLES,Alley,Needles,ALLEY,NEEDLES
12,ALLEY|OTHER,Alley,Other,ALLEY,OTHER
13,"ALLEY|OTHER, ENTER MORE DETAILS",Alley,"Other, enter more details",ALLEY,"OTHER, ENTER MORE DETAILS"
14,ALLEY|SHOPPING CARTS,Alley,Shopping Carts,ALLEY,SHOPPING CARTS
15,ALLEY|TIRES,Alley,Tires,ALLEY,TIRES
16,ALLEY|TV / COMPUTER MONITOR,Alley,TV / Computer Monitor,ALLEY,TV / COMPUTER MONITOR
17,ALLEY|YARD WASTE,Alley,Yard Waste,ALLEY,YARD WASTE
18,ALLEY|UNK,Alley,,ALLEY,
19,CITY PARK|APPLIANCE,City Park,Appliance,CITY PARK,APPLIANCE
20,CITY PARK|AUTO PARTS,City Park,Auto Parts,CITY PARK,AUTO PARTS
21,CITY PARK|CONSTRUCTION DEBRIS,City Park,Construction Debris,CITY PARK,CONSTRUCTION DEBRIS
22,CITY PARK|ELECTRONICS,City Park,Electronics,CITY PARK,ELECTRONICS
23,CITY PARK|FURNITURE,City Park,Furniture,CITY PARK,FURNITURE
24,CITY PARK|GARBAGE,City Park,Garbage,CITY PARK,GARBAGE
25,"CITY PARK|HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)",City Park,"Hazmat (paints, solvents, unidentified liquids)",CITY PARK,"HAZMAT (PAINTS, SOLVENTS, UNIDENTIFIED LIQUIDS)"
26,CITY PARK|LITTER,City Park,Litter,CITY PARK,LITTER
27,CITY PARK|MATTRESS,City Park,Mattress,CITY PARK,MATTRESS
28,CITY PARK|NEEDLES,City Park,Needles,CITY PARK,NEEDLES
29,CITY PARK|OTHER,City Park,Other,CITY PARK,OTHER
30,"CITY PARK|OTHER, ENTER MORE DETAILS",City Park,"Other, enter more details",CITY PARK,"OTHER, ENTER MORE DETAILS"
31,CITY PARK|SHOPPING CARTS,City Park,Shopping Carts,CITY PARK,SHOPPING CARTS
32,CITY PARK|TIRES,City Park,Tires,CITY PARK,TIRES
33,CITY PARK|TV / COMPUTER MONITOR,City Park,TV / Computer Monitor,CITY PARK,TV / COMPUTER MONITOR
34,CITY PARK|YARD WASTE,City Park,Yard Waste,CITY PARK,YARD WASTE
35,CITY PARK|UNK,City Park,,CITY PARK,
36,DUMPSTER|APPLIANCE,Dumpster,Appliance,DUMPSTER,APPLIANCE
37,DUMPSTER|AUTO PARTS,Dumpster,Auto Parts,DUMPSTER,AUTO PARTS
